step;RNN;4 layer IRNN;LSTM;IRNN;Fast Weights;Autoconceptor
500;0.5088140964508057;0.9072515964508057;0.807692289352417;0.2936698794364929;0.6546875238418579;0.522656261920929
1000;0.5170272588729858;0.9387019276618958;0.8395432829856873;0.71875;0.7018749713897705;0.6061718463897705
1500;0.5128205418586731;0.9581330418586731;0.864182710647583;0.7688301205635071;0.7448437213897705;0.6509374976158142
2000;0.5188301205635071;0.9611378312110901;0.8760015964508057;0.8018830418586731;0.7564843893051147;0.6766406297683716
2500;0.5198317170143127;0.9581330418586731;0.8760015964508057;0.8299278616905212;0.776562511920929;0.7107031345367432
3000;0.5244390964508057;0.9671474099159241;0.8846153616905212;0.8529647588729858;0.7857812643051147;0.7254687547683716
3500;0.5262419581413269;0.9637419581413269;0.8972355723381042;0.8697916865348816;0.8004687428474426;0.745312511920929
4000;0.5340544581413269;0.9693509340286255;0.9034455418586731;0.8687900900840759;0.8080468773841858;0.7561718821525574
4500;0.5320512652397156;0.9661458134651184;0.9018429517745972;0.8615785241127014;0.8133593797683716;0.7702343463897705
5000;0.5270432829856873;0.96875;0.90625;0.8657852411270142;0.8206250071525574;0.7807812690734863
5500;0.5306490659713745;0.9771634340286255;0.9082531929016113;0.8725961446762085;0.8353906273841858;0.7900781035423279
6000;0.5304487347602844;0.9747596383094788;0.9076522588729858;0.8940304517745972;0.8376562595367432;0.7964843511581421
6500;0.5352563858032227;0.9715544581413269;0.911057710647583;0.9022436141967773;0.8442968726158142;0.8005468845367432
7000;0.5348557829856873;0.9713541865348816;0.9136618375778198;0.9072515964508057;0.8405468463897705;0.8062499761581421
7500;0.5376602411270142;0.9751602411270142;0.9132612347602844;0.9182692170143127;0.8518750071525574;0.8064062595367432
8000;0.5368589758872986;0.9725561141967773;0.9174679517745972;0.9176682829856873;0.8619531393051147;0.8075000047683716
8500;0.5346554517745972;0.9773637652397156;0.9142628312110901;0.9234775900840759;0.8657031059265137;0.8147656321525574
9000;0.5362580418586731;0.9747596383094788;0.9176682829856873;0.9284855723381042;0.86328125;0.817187488079071
9500;0.5386618375778198;0.9789663553237915;0.9136618375778198;0.9280849099159241;0.8758593797683716;0.8228124976158142
10000;0.5328525900840759;0.9777644276618958;0.9182692170143127;0.9334936141967773;0.8733593821525574;0.8277343511581421
10500;0.5332531929016113;0.9759615659713745;0.9168669581413269;0.9377003312110901;0.8828906416893005;0.8286718726158142
11000;0.5320512652397156;0.9761618375778198;0.9210737347602844;0.9389022588729858;0.8857812285423279;0.8295312523841858
11500;0.5376602411270142;0.9793669581413269;0.9202724099159241;0.9379006624221802;0.8864843845367432;0.8295312523841858
12000;0.5446714758872986;0.9759615659713745;0.9198718070983887;0.9461137652397156;0.8907031416893005;0.8315625190734863
12500;0.5372596383094788;0.9773637652397156;0.9244791865348816;0.9409054517745972;0.8877343535423279;0.8334375023841858
13000;0.5432692170143127;0.9807692170143127;0.9198718070983887;0.9477163553237915;0.8900781273841858;0.8349999785423279
13500;0.5412660241127014;0.9777644276618958;0.9212740659713745;0.9459134340286255;0.8993750214576721;0.8403124809265137
14000;0.5496794581413269;0.9823718070983887;0.9232772588729858;0.9499198794364929;0.8962500095367432;0.8389843702316284
14500;0.5408653616905212;0.9807692170143127;0.9172676205635071;0.9543269276618958;0.9008593559265137;0.8393750190734863
15000;0.5514823794364929;0.9785656929016113;0.9228765964508057;0.9479166865348816;0.9067968726158142;0.8435937762260437
15500;0.5520833134651184;0.9767628312110901;0.9258813858032227;0.9565304517745972;0.9060937762260437;0.8407031297683716
16000;0.5430688858032227;0.981370210647583;0.9204727411270142;0.9525240659713745;0.9075000286102295;0.8461718559265137
16500;0.5514823794364929;0.9809695482254028;0.9232772588729858;0.9537259340286255;0.9110156297683716;0.8467187285423279
17000;0.5502804517745972;0.9827724099159241;0.9230769276618958;0.9481169581413269;0.9130468964576721;0.8520312309265137
17500;0.5518830418586731;0.9803686141967773;0.926682710647583;0.9577323794364929;0.9078124761581421;0.8489843606948853
18000;0.5474759340286255;0.9783653616905212;0.9220753312110901;0.9549278616905212;0.9155468940734863;0.8451562523841858
18500;0.5452724099159241;0.9783653616905212;0.9244791865348816;0.9557291865348816;0.9157812595367432;0.8489843606948853
19000;0.5478765964508057;0.981370210647583;0.9228765964508057;0.9583333134651184;0.9175781011581421;0.8501562476158142
19500;0.5484775900840759;0.9819711446762085;0.924879789352417;0.9599359035491943;0.915234386920929;0.852734386920929
20000;0.5430688858032227;0.9799679517745972;0.9224759340286255;0.9589343070983887;0.9184374809265137;0.8533594012260437
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;