Alpha;Lambda;value
5;0.075;0.9223437309265137
5;0.08;0.8877250552177429
5;0.085;0.901393711566925
5;0.09;0.9476375579833984
5;0.095;0.9513250589370728
5;0.1;0.954993724822998
5;0.105;0.9568687677383423
5;0.11;0.9531749486923218
5;0.115;0.936287522315979
5;0.12;0.9625937342643738
5;0.125;0.9603124856948853
5;0.13;0.9574249982833862
10;0.075;0.8754875063896179
10;0.08;0.9101937413215637
10;0.085;0.8978250622749329
10;0.09;0.9093250036239624
10;0.095;0.9514312744140625
10;0.1;0.9513562321662903
10;0.105;0.9147874712944031
10;0.11;0.9609062075614929
10;0.115;0.9526249766349792
10;0.12;0.9583687782287598
10;0.125;0.936981201171875
10;0.13;0.9531687498092651
15;0.075;0.9099375009536743
15;0.08;0.8974124789237976
15;0.085;0.9043874740600586
15;0.09;0.9519750475883484
15;0.095;0.9507499933242798
15;0.1;0.9601186513900757
15;0.105;0.9580437541007996
15;0.11;0.9472000002861023
15;0.115;0.9555686712265015
15;0.12;0.9498624801635742
15;0.125;0.9609125256538391
15;0.13;0.9419124722480774
20;0.075;0.88447505235672
20;0.08;0.9116188287734985
20;0.085;0.9319062232971191
20;0.09;0.9504812955856323
20;0.095;0.9101437330245972
20;0.1;0.9506062269210815
20;0.105;0.9613437652587891
20;0.11;0.9508749842643738
20;0.115;0.9581562280654907
20;0.12;0.95640629529953
20;0.125;0.9555875062942505
20;0.13;0.9494500160217285
25;0.075;0.9198125004768372
25;0.08;0.9116061925888062
25;0.085;0.9324625134468079
25;0.09;0.9389436841011047
25;0.095;0.9377375841140747
25;0.1;0.946862518787384
25;0.105;0.9532812237739563
25;0.11;0.9630249738693237
25;0.115;0.9365750551223755
25;0.12;0.9477688074111938
25;0.125;0.9424875378608704
25;0.13;0.948468804359436
30;0.075;0.7954562306404114
30;0.08;0.9404312968254089
30;0.085;0.9435124397277832
30;0.09;0.9528124928474426
30;0.095;0.9553999900817871
30;0.1;0.9629124402999878
30;0.105;0.9593563079833984
30;0.11;0.9570375680923462
30;0.115;0.9580937623977661
30;0.12;0.9614499807357788
30;0.125;0.9602437019348145
30;0.13;0.8907938003540039