step;LSTM baseline;I-RNN;Fast Weights;Autoconceptor
1314;6.5063581466674805;6.4478535652160645;6.6253228187561035;5.8786468505859375
2628;6.243791103363037;6.446987152099609;6.593979358673096;5.504641056060791
3942;5.981865882873535;6.4530205726623535;6.415953159332275;5.329430103302002
5256;5.7821784019470215;6.459003448486328;6.208817958831787;5.264238357543945
6570;5.647006988525391;6.4722185134887695;5.9731550216674805;5.212401866912842
7884;5.484987735748291;6.4673004150390625;5.771495819091797;5.17555046081543
9198;5.374582290649414;6.464432239532471;5.5473480224609375;5.152498245239258
10512;5.297071933746338;6.478899955749512;5.360567569732666;5.145106792449951
11826;5.223325729370117;6.484708786010742;5.206242084503174;5.131107330322266
13140;5.168086528778076;6.488763332366943;5.102148056030273;5.198101043701172
14454;5.1221418380737305;6.495842456817627;5.031282424926758;5.134803295135498
15768;5.095057964324951;6.490144729614258;4.98588752746582;5.124392509460449
17082;5.079351902008057;6.5090789794921875;4.9456095695495605;5.1201629638671875
18396;5.050027847290039;6.5108866691589355;4.936763763427734;5.11401891708374
19710;5.031643867492676;6.518062591552734;4.917128086090088;5.097955703735352
21024;5.029961109161377;6.5196099281311035;4.897966384887695;5.10917854309082
22338;5.004937648773193;6.532994270324707;4.890777111053467;5.115060329437256
23652;5.004874229431152;6.526041030883789;4.896193027496338;5.106118202209473
24966;4.996310234069824;6.523881435394287;4.883285045623779;5.108975410461426
26280;4.9825944900512695;6.543968677520752;4.888599872589111;5.1004180908203125
27594;4.979190826416016;6.546548366546631;4.876909255981445;5.097494125366211
28908;4.979439735412598;6.54304313659668;4.868140697479248;5.095821857452393
30222;4.9816083908081055;6.569336414337158;4.867028713226318;5.093311786651611
31536;4.969212532043457;6.576478958129883;4.879791736602783;5.099450588226318
32850;4.973790168762207;6.547598838806152;4.877180576324463;5.093220233917236
34164;4.964000225067139;6.550930976867676;4.880561351776123;5.095815658569336
35478;4.997702598571777;6.557062149047852;4.88301420211792;5.093646049499512
36792;4.971951961517334;6.581054210662842;4.878453731536865;5.089817047119141
38106;4.93874454498291;6.589774131774902;4.875604152679443;5.084352493286133
39420;4.908779144287109;6.605530261993408;4.866497993469238;5.093349933624268
40734;4.898138046264648;6.605085372924805;4.897228717803955;5.095518589019775
42048;4.873167037963867;6.587796211242676;4.89572286605835;5.0806565284729
43362;4.8650031089782715;6.59269905090332;4.906927585601807;5.0927348136901855
44676;4.847782611846924;6.595947265625;4.891192436218262;5.101100921630859
45990;4.823137283325195;6.620959281921387;4.888742446899414;5.080240249633789
47304;4.822049140930176;6.636286735534668;4.889753341674805;5.0689496994018555
48618;4.804059028625488;6.622066497802734;4.8852033615112305;5.1048903465271
49932;4.793017864227295;6.641599655151367;4.894035816192627;5.078062057495117
51246;4.780332088470459;6.633067607879639;4.9017109870910645;5.077483654022217
52560;4.776611328125;6.6103363037109375;4.904745101928711;5.078478813171387
53874;4.775114059448242;6.639533519744873;4.918417453765869;5.0709333419799805
55188;4.770219802856445;6.6127400398254395;4.900580406188965;5.083001613616943
56502;4.75634765625;6.632513999938965;4.916150093078613;5.081101894378662
57816;4.766498565673828;6.647772312164307;4.9188385009765625;5.075075626373291
59130;4.75055456161499;6.6409149169921875;4.943741321563721;5.079781532287598
60444;4.758172988891602;6.629543304443359;4.907227993011475;5.085313320159912
61758;4.758204936981201;6.643197059631348;4.915831565856934;5.074881076812744
63072;4.759380340576172;6.612703800201416;4.931266784667969;5.090049743652344
64386;4.7464919090271;6.64481258392334;4.927670955657959;5.081187725067139